name,artifact_dir,nrows,ncols,matrix_nrows,matrix_ncols,nnz_max_capacity,max_time,min_time,max_chain_time,min_chain_time,passed,status,failed_step,error_type,returncode,saved_make_log,cli_tail
matrix_8192rows_64nnzperrow_64,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_8192rows_64nnzperrow_64_cache,64,64,8192,8192,172,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/061_matrix_8192rows_64nnzperrow_64_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:01.66 FAIL smoke [ NROWS=64 XPERCOL=128 NCOLS=64 ROWSPERPE=128 NNZ_CAPACITY=172 MATRIX_NNZ=524288 MIN_NNZ=93 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_1024nnzperrow_384,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_1024nnzperrow_384_cache,384,384,32768,32768,304,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/062_matrix_32768rows_1024nnzperrow_384_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:07.10 FAIL smoke [ NROWS=384 XPERCOL=86 NCOLS=384 ROWSPERPE=86 NNZ_CAPACITY=304 MATRIX_NNZ=33554432 MIN_NNZ=162 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_16nnzperrow_384,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_16nnzperrow_384_cache,384,384,32768,32768,14,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/063_matrix_32768rows_16nnzperrow_384_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:03.11 FAIL smoke [ NROWS=384 XPERCOL=86 NCOLS=384 ROWSPERPE=86 NNZ_CAPACITY=14 MATRIX_NNZ=524288 MIN_NNZ=0 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_256nnzperrow_384,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_256nnzperrow_384_cache,384,384,32768,32768,94,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/064_matrix_32768rows_256nnzperrow_384_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:04.35 FAIL smoke [ NROWS=384 XPERCOL=86 NCOLS=384 ROWSPERPE=86 NNZ_CAPACITY=94 MATRIX_NNZ=8388608 MIN_NNZ=25 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_64nnzperrow_384,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_64nnzperrow_384_cache,384,384,32768,32768,33,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/065_matrix_32768rows_64nnzperrow_384_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:02.97 FAIL smoke [ NROWS=384 XPERCOL=86 NCOLS=384 ROWSPERPE=86 NNZ_CAPACITY=33 MATRIX_NNZ=2097152 MIN_NNZ=1 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_1024nnzperrow_512,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_1024nnzperrow_512_cache,512,512,32768,32768,183,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/066_matrix_32768rows_1024nnzperrow_512_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:07.89 FAIL smoke [ NROWS=512 XPERCOL=64 NCOLS=512 ROWSPERPE=64 NNZ_CAPACITY=183 MATRIX_NNZ=33554432 MIN_NNZ=83 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_16nnzperrow_512,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_16nnzperrow_512_cache,512,512,32768,32768,11,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/067_matrix_32768rows_16nnzperrow_512_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:02.96 FAIL smoke [ NROWS=512 XPERCOL=64 NCOLS=512 ROWSPERPE=64 NNZ_CAPACITY=11 MATRIX_NNZ=524288 MIN_NNZ=0 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_256nnzperrow_512,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_256nnzperrow_512_cache,512,512,32768,32768,65,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/068_matrix_32768rows_256nnzperrow_512_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:05.11 FAIL smoke [ NROWS=512 XPERCOL=64 NCOLS=512 ROWSPERPE=64 NNZ_CAPACITY=65 MATRIX_NNZ=8388608 MIN_NNZ=10 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_64nnzperrow_512,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_64nnzperrow_512_cache,512,512,32768,32768,22,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/069_matrix_32768rows_64nnzperrow_512_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:03.29 FAIL smoke [ NROWS=512 XPERCOL=64 NCOLS=512 ROWSPERPE=64 NNZ_CAPACITY=22 MATRIX_NNZ=2097152 MIN_NNZ=0 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_8192rows_1024nnzperrow_128,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_8192rows_1024nnzperrow_128_cache,128,128,8192,8192,598,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/070_matrix_8192rows_1024nnzperrow_128_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:02.79 FAIL smoke [ NROWS=128 XPERCOL=64 NCOLS=128 ROWSPERPE=64 NNZ_CAPACITY=598 MATRIX_NNZ=8388608 MIN_NNZ=432 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
