name,artifact_dir,nrows,ncols,matrix_nrows,matrix_ncols,nnz_max_capacity,max_time,min_time,max_chain_time,min_chain_time,format,passed,status,failed_step,error_type,returncode,saved_make_log
atmosmodl.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.384x384.blocked,,,,,,,,,,,,skipped,,,,
atmosmodl.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.384x384.random,,,,,,,,,,,,skipped,,,,
atmosmodl.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.512x512.random,,,,,,,,,,,,skipped,,,,
atmosmodl.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.512x512.blocked,,,,,,,,,,,,skipped,,,,
Chebyshev4.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.256x256.blocked,,,,,,,,,,,,skipped,,,,
Chebyshev4.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.256x256.random,,,,,,,,,,,,skipped,,,,
Chebyshev4.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.384x384.blocked,,,,,,,,,,,,skipped,,,,
Chebyshev4.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.384x384.random,,,,,,,,,,,,skipped,,,,
Chebyshev4.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.512x512.blocked,,,,,,,,,,,,skipped,,,,
Chebyshev4.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.512x512.random,,,,,,,,,,,,skipped,,,,
com-Youtube.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.256x256.blocked,,,,,,,,,,,,skipped,,,,
com-Youtube.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.256x256.random,,,,,,,,,,,,skipped,,,,
com-Youtube.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.384x384.blocked,,,,,,,,,,,,skipped,,,,
com-Youtube.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.384x384.cyclic,,,,,,,,,,,,skipped,,,,
com-Youtube.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.512x512.blocked,,,,,,,,,,,,skipped,,,,
com-Youtube.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.512x512.cyclic,,,,,,,,,,,,skipped,,,,
crankseg_1.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.256x256.blocked,,,,,,,,,,,,skipped,,,,
crankseg_1.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.256x256.random,,,,,,,,,,,,skipped,,,,
crankseg_1.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.384x384.blocked,,,,,,,,,,,,skipped,,,,
crankseg_1.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.384x384.random,,,,,,,,,,,,skipped,,,,
crankseg_1.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.512x512.blocked,,,,,,,,,,,,skipped,,,,
crankseg_1.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.512x512.random,,,,,,,,,,,,skipped,,,,
delaunay_n23.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.256x256.blocked,,,,,,,,,,,,skipped,,,,
delaunay_n23.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.256x256.cyclic,,,,,,,,,,,,skipped,,,,
delaunay_n23.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.256x256.random,,,,,,,,,,,,skipped,,,,
delaunay_n23.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.384x384.blocked,,,,,,,,,,,,skipped,,,,
delaunay_n23.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.384x384.cyclic,,,,,,,,,,,,skipped,,,,
delaunay_n23.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.384x384.random,,,,,,,,,,,,skipped,,,,
delaunay_n23.073026.512x512.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.512x512.blocked,,,,,,,,,,,,skipped,,,,
delaunay_n23.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.512x512.cyclic,,,,,,,,,,,,skipped,,,,
delaunay_n23.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/delaunay_n23.073026.512x512.random,,,,,,,,,,,,skipped,,,,
dielFilterV2real.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.256x256.blocked,,,,,,,,,,,,skipped,,,,
dielFilterV2real.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.256x256.random,,,,,,,,,,,,skipped,,,,
dielFilterV2real.073026.384x384.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/dielFilterV2real.073026.384x384.blocked,,,,,,,,,,,,skipped,,,,
radiation.080526.509x510.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.080526.509x510.cyclic,509,510,223104,223104,59,9711.0,9181.0,1450.0,226.0,row,
